product_id,category,total_orders,total_revenue,avg_price_per_unit
bb50f2e236e5eea0100680137654686c,health_beauty,186,63560.00,327.63
6cdd53843498f92890544667809f1595,health_beauty,148,53652.30,350.67
d6160fb7873f184099d9bc95e30376af,computers,33,45949.35,1392.40
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,313,45620.56,137.41
99a4788cb24856965c36a24e339b6058,bed_bath_table,456,42049.66,88.15
3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,253,40782.80,149.94
25c38557cf793876c5abdd5931f922db,baby,38,38907.32,1023.88
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,63,37733.90,598.95
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,304,37454.63,116.68
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,425,37104.30,71.35
