revenue_rank,customer_unique_id,customer_city,customer_state,total_orders,total_revenue,avg_order_value,first_purchase,last_purchase
1,0a0a92112bd4c708ca5fde585afaa872,rio de janeiro,RJ,1,13440.00,1680.00,2017-09-29,2017-09-29
2,da122df9eeddfedc1dc1f5349a1a690c,araruama,RJ,2,7388.00,3694.00,2017-04-01,2017-04-01
3,763c8b1c9c68a0229c42c9fc6f662b93,vila velha,ES,1,7160.00,1790.00,2018-07-15,2018-07-15
4,dc4802a71eae9be1dd28f5d788ceb526,campo grande,MS,1,6735.00,6735.00,2017-02-12,2017-02-12
5,459bef486812aa25204be022145caa62,vitoria,ES,1,6729.00,6729.00,2018-07-25,2018-07-25
6,ff4159b92c40ebe40454e3e6a7c35ed6,marilia,SP,1,6499.00,6499.00,2017-05-24,2017-05-24
7,4007669dec559734d6f53e029e360987,divinopolis,MG,1,5934.60,989.10,2017-11-24,2017-11-24
8,eebb5dda148d3893cdaf5b5ca3040ccb,maua,SP,1,4690.00,4690.00,2017-04-18,2017-04-18
9,48e1ac109decbb87765a3eade6854098,joao pessoa,PB,1,4590.00,4590.00,2018-06-22,2018-06-22
10,a229eba70ec1c2abef51f04987deb7a5,niteroi,RJ,1,4400.00,2200.00,2018-05-31,2018-05-31
