category,category_revenue,total_orders,unique_products,revenue_share_pct,cumulative_pct
health_beauty,1233131.72,8647,2397,9.33,9.33
watches_gifts,1166176.98,5495,1300,8.82,18.15
bed_bath_table,1023434.76,9272,2991,7.74,25.89
sports_leisure,954852.55,7530,2822,7.22,33.11
computers_accessories,888724.61,6530,1600,6.72,39.83
furniture_decor,711927.69,6307,2593,5.38,45.22
housewares,615628.69,5743,2282,4.66,49.87
cool_stuff,610204.10,3559,770,4.62,54.49
auto,578966.65,3810,1853,4.38,58.87
toys,471286.48,3804,1373,3.56,62.43
garden_tools,470495.28,3448,725,3.56,65.99
baby,400421.84,2809,890,3.03,69.02
perfumery,390144.65,3086,857,2.95,71.97
telephony,309860.23,4093,1112,2.34,74.31
office_furniture,268154.31,1254,302,2.03,76.34
stationery,223788.69,2264,831,1.69,78.03
computers,218684.14,177,30,1.65,79.69
pet_shop,211695.64,1688,710,1.60,81.29
musical_instruments,184315.74,611,279,1.39,82.68
small_appliances,182754.12,609,220,1.38,84.06
Unknown,170726.63,1392,584,1.29,85.36
electronics,155043.93,2517,507,1.17,86.53
fashion_bags_accessories,149329.39,1820,829,1.13,87.66
consoles_games,148003.37,1018,300,1.12,88.78
construction_tools_construction,142108.49,736,393,1.07,89.85
luggage_accessories,138701.63,1019,346,1.05,90.90
home_appliances_2,107953.95,227,88,0.82,91.72
home_construction,81407.57,483,221,0.62,92.33
home_appliances,78832.48,747,364,0.60,92.93
agro_industry_and_commerce,70566.10,177,71,0.53,93.46
furniture_living_room,67350.70,414,152,0.51,93.97
home_confort,58008.45,392,111,0.44,94.41
fixed_telephony,55315.21,212,113,0.42,94.83
air_conditioning,53323.56,246,121,0.40,95.23
audio,50570.60,348,58,0.38,95.62
small_appliances_home_oven_and_coffee,46589.56,72,30,0.35,95.97
kitchen_dining_laundry_garden_furniture,45531.98,241,92,0.34,96.31
books_general_interest,45302.15,496,207,0.34,96.66
construction_tools_lights,39957.00,242,77,0.30,96.96
construction_tools_safety,38773.22,159,88,0.29,97.25
industry_commerce_and_business,38498.81,232,68,0.29,97.54
food,28731.15,441,79,0.22,97.76
market_place,27795.77,274,99,0.21,97.97
costruction_tools_garden,25096.28,190,86,0.19,98.16
art,23657.30,195,52,0.18,98.34
fashion_shoes,23001.46,235,170,0.17,98.51
drinks,21529.84,287,80,0.16,98.68
signaling_and_security,21315.05,138,91,0.16,98.84
furniture_bedroom,19051.80,90,43,0.14,98.98
books_technical,18702.23,256,122,0.14,99.12
costruction_tools_tools,15903.95,97,39,0.12,99.24
food_drink,14942.88,221,99,0.11,99.36
fashion_male_clothing,10452.33,106,89,0.08,99.43
fashion_underwear_beach,9305.95,117,52,0.07,99.50
christmas_supplies,8737.84,125,63,0.07,99.57
tablets_printing_image,7528.41,79,9,0.06,99.63
cine_photo,6674.47,63,26,0.05,99.68
music,6034.35,38,27,0.05,99.72
dvds_blu_ray,4542.59,56,46,0.03,99.76
party_supplies,4465.19,38,25,0.03,99.79
books_imported,4418.86,50,30,0.03,99.83
furniture_mattress_and_upholstery,4323.38,37,10,0.03,99.86
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13,9,0.03,99.89
fashio_female_clothing,2634.94,36,26,0.02,99.91
fashion_sport,2094.52,26,19,0.02,99.92
la_cuisine,2054.99,13,10,0.02,99.94
arts_and_craftmanship,1814.01,23,19,0.01,99.95
diapers_and_hygiene,1500.79,25,11,0.01,99.96
pc_gamer,1306.95,7,2,0.01,99.97
flowers,1110.04,29,14,0.01,99.98
home_comfort_2,760.27,24,5,0.01,99.99
cds_dvds_musicals,730.00,12,1,0.01,99.99
fashion_childrens_clothes,519.95,7,4,0.00,100.00
security_and_services,283.29,2,2,0.00,100.00
