ticket_rank,customer_state,total_orders,avg_ticket,avg_items_value,avg_freight,total_revenue,value_segment
1,PB,517,266.61,217.77,48.84,137838.55,Q1 - Alto valor
2,AC,80,244.69,199.14,45.55,19575.33,Q1 - Alto valor
3,AP,67,240.92,199.62,41.30,16141.81,Q1 - Alto valor
4,AL,397,237.21,198.63,38.58,94172.49,Q1 - Alto valor
5,RO,243,234.43,187.99,46.43,56966.00,Q1 - Alto valor
6,PA,946,224.13,184.43,39.70,212023.57,Q1 - Alto valor
7,PI,476,220.96,177.99,42.98,105178.19,Q1 - Alto valor
8,RR,41,220.48,172.13,48.34,9039.52,Q2 - Valor medio-alto
9,TO,274,219.01,176.65,42.35,60007.37,Q2 - Valor medio-alto
10,RN,474,212.48,173.22,39.26,100714.78,Q2 - Valor medio-alto
11,SE,335,209.82,168.88,40.94,70289.13,Q2 - Valor medio-alto
12,CE,1279,208.32,171.82,36.50,266436.77,Q2 - Valor medio-alto
13,MA,717,206.14,163.19,42.95,147803.55,Q2 - Valor medio-alto
14,MT,886,204.54,171.77,32.77,181224.42,Q2 - Valor medio-alto
15,PE,1593,193.96,158.12,35.83,308972.05,Q3 - Valor medio-bajo
16,MS,701,191.68,164.66,27.02,134367.55,Q3 - Valor medio-bajo
17,AM,145,190.24,152.80,37.45,27585.47,Q3 - Valor medio-bajo
18,BA,3256,181.55,151.59,29.96,591137.81,Q3 - Valor medio-bajo
19,GO,1957,170.78,144.53,26.25,334212.35,Q3 - Valor medio-bajo
20,SC,3546,167.83,142.98,24.85,595127.78,Q3 - Valor medio-bajo
21,RJ,12350,166.43,142.48,23.95,2055401.57,Q3 - Valor medio-bajo
22,DF,2080,166.41,142.55,23.86,346123.35,Q4 - Bajo valor
23,RS,5345,161.17,136.37,24.80,861472.79,Q4 - Bajo valor
24,MG,11354,160.20,136.73,23.46,1818891.67,Q4 - Bajo valor
25,ES,1995,159.23,134.66,24.57,317657.93,Q4 - Bajo valor
26,PR,4923,158.79,135.30,23.49,781708.80,Q4 - Bajo valor
27,SP,40501,142.46,125.12,17.33,5769703.15,Q4 - Bajo valor
